name,avg_rating,total_reviews,address,phone_number,website,region,Business Type,email
Encore Bruxelles,4.2,410,"Pl. de la Vieille Halle aux Blés 39, 1000 Bruxelles",,https://www.core-bruxelles.be,brussels,restaurant,56restaurant@core-bruxelles.beR9V2
Tonton Garby,4.8,"2,002","Rue Duquesnoy 6, 1000 Bruxelles",0484 29 02 16,,brussels,restaurant,
Restaurant de la Bourse,4.3,223,"Rue de Flandre 32, 1000 Bruxelles",02 511 99 29,,brussels,restaurant,
Au Pleysier,4.6,403,"Borgwal 3, 1000 Bruxelles",02 511 40 00,https://www.aupleysier.be,brussels,restaurant,
Chutney's,3.7,594,"Rue des Eperonniers 34, 1000 Bruxelles",02 505 53 00,https://www.chutneysbrussels.com,brussels,restaurant,info.warwickbrussels@warwickhotels.com
Chutney's,3.7,594,"Rue des Eperonniers 34, 1000 Bruxelles",02 505 53 00,https://www.chutneysbrussels.com,brussels,restaurant,butler.brussels@warwickhotels.com
Un bout d’histoire,4.3,838,"Rue des Chartreux 32, 1000 Bruxelles",02 772 46 77,https://www.un-bout-dhistoire.webador.be,brussels,restaurant,
BBQ Brussels,4.3,3,1000 Brussels,,,brussels,restaurant,
Les Filles,4.2,583,"Rue du Vieux Marché aux Grains 46, 1000 Bruxelles",02 534 04 83,https://www.lesfilles.be,brussels,restaurant,info@lesfilles.be
Amadeo,4.2,"4,642","Rue Sainte-Catherine 26, 1000 Bruxelles",0495 16 77 53,https://www.amadeus-resto.be,brussels,restaurant,
Comptoir des Galeries,4.3,167,"Rue des Bouchers 36, 1000 Bruxelles",02 213 74 70,https://www.thefork.be,brussels,restaurant,
Sensi Concept Store - Restaurant - Brussels,4.2,231,"Rue de la Régence 13, 1000 Bruxelles",02 502 25 21,https://www.maisonsensi.eu,brussels,restaurant,sensibruxelles@gmail.com
La Brouette,3.9,893,"Grand Place 2, 1000 Bruxelles",02 511 20 22,https://www.taverne-brouette.be,brussels,restaurant,
Le Pré Salé,3.9,"1,395","Rue de Flandre 20, 1000 Bruxelles",02 513 65 45,https://www.lepresale.be,brussels,restaurant,
ilili by Jaffa,4.4,243,"Rue Haute 23, 1000 Bruxelles",02 502 17 07,https://www.jaffaport.be,brussels,restaurant,
Mim Restaurant,3.0,388,"Hofberg 2, 1000 Brussel",02 502 95 08,https://www.mim.be,brussels,restaurant,
La Boussole,4.2,350,"Quai au Bois à Brûler 61, 1000 Bruxelles",0473 94 87 83,https://www.restaurant-laboussole.be,brussels,restaurant,
De Pistolei,4.2,674,"Rue de la Madeleine 5, 1000 Bruxelles",02 502 95 02,,brussels,restaurant,
La Roue d'Or,4.2,688,"Rue des Chapeliers 26, 1000 Bruxelles",02 514 25 54,https://www.facebook.com,brussels,restaurant,
Greenwich Café Bruxelles,3.8,749,"Rue des Chartreux 7, 1000 Bruxelles",,,brussels,restaurant,
Restaurant The White Bruxelles,4.8,6,"Av. des Arts 9, 1210 Bruxelles",02 899 83 76,https://www.thewhite-restaurant.com,brussels,restaurant,
Restauration roumaine - Rustic,4.6,"1,210","Rue Grétry 13, 1000 Bruxelles",0474 26 17 48,,brussels,restaurant,
BELI,4.3,346,"Rue Joseph Stevens 11, 1000 Bruxelles",02 538 88 88,https://www.beli.be,brussels,restaurant,
Baraka't Kacem,4.1,560,"Rue de l'Enseignement 55, 1000 Bruxelles",0489 18 60 81,https://www.facebook.com,brussels,restaurant,
Royal Indian Restaurant,4.4,"1,991","Rue de la Fourche 5, 1000 Bruxelles",02 513 07 13,https://www.royalindianbruxelles.be,brussels,restaurant,
Le Wine Bar des Marolles,4.6,361,"Rue Haute 198, 1000 Bruxelles",02 503 62 50,https://www.lewinebardesmarolles.be,brussels,restaurant,
Restaurant Chinois,,,"Rue des Bouchers 55, 1000 Bruxelles",,,brussels,restaurant,
Restaurant L'italiano,4.2,236,"Rue de la Fourche 28, 1000 Bruxelles",02 203 73 93,https://www.restaurant-italiano.brussels,brussels,restaurant,
La Corte Gastronomica,3.3,543,"Rue Grétry 44, 1000 Bruxelles",02 218 50 36,https://www.laltromondo.be,brussels,restaurant,
Bonsoir Clara,4.0,451,"Rue Antoine Dansaert 22, 1000 Bruxelles",02 502 09 90,https://www.bonsoirclara.com,brussels,restaurant,
9 et Voisins,4.5,"2,362","Rue Van Artevelde 1, 1000 Bruxelles",,https://www.9-et-voisins.be,brussels,restaurant,
Artisauce,4.6,247,"Chau. de Waterloo 421, 1050 Ixelles",0470 97 10 12,https://www.artisauce.com,brussels,restaurant,
Saffron Food Persian & Iranian Food BBQ,4.8,"1,198","Rue du Marché aux Fromages 14, 1000 Bruxelles",02 267 29 99,https://www.restaurantsaffron.com,brussels,restaurant,
GourmetBar Brussels City Centre,4.4,19,"Rue de la Vge Noire 32, 1000 Bruxelles",02 505 50 50,https://www.restaurants.accor.com,brussels,restaurant,
Bistro Martin Brussels,4.3,44,"Bd Charlemagne 80, 1000 Bruxelles",02 235 17 28,https://www.martinshotels.com,brussels,restaurant,
Karen Torosyan | Bozar Restaurant,4.4,448,"Rue Baron Horta 3, 1000 Bruxelles",02 503 00 00,https://www.bozarrestaurant.be,brussels,restaurant,info@bozarrestaurant.be
Davi,4.2,723,"Rue Jules Van Praet 22, 1000 Bruxelles",02 511 18 21,,brussels,restaurant,
Restaurant Schuddeveld,4.3,541,"Pt Rue des Bouchers 23, 1000 Bruxelles",0489 17 83 33,,brussels,restaurant,
Les Brigittines,4.4,611,"Pl. de la Chapelle 5, 1000 Bruxelles",02 512 68 91,https://www.lesbrigittines.com,brussels,restaurant,cuisinierinfo@lesbrigittines.com02
Les Brigittines,4.4,611,"Pl. de la Chapelle 5, 1000 Bruxelles",02 512 68 91,https://www.lesbrigittines.com,brussels,restaurant,3info@lesbrigittines.comou
Thai Talks,4.1,367,"Rue des Pierres 51, 1000 Bruxelles",0487 84 74 79,https://www.thai-talks.be,brussels,restaurant,
Shahrazad,4.4,"1,035","Rue Jourdan 28, 1060 Saint-Gilles",0466 01 38 92,,brussels,restaurant,
Lunch Garden Bruxelles,3.8,963,"Rue Neuve 111, 1000 Bruxelles",02 219 35 79,https://www.lunchgarden.be,brussels,restaurant,
Taverne du Passage,3.9,"1,031","Galerie de la Reine 30, 1000 Brussel",02 512 14 13,https://www.latavernedupassage.be,brussels,restaurant,
Barge,4.8,283,"Bd d'Ypres 33, 1000 Bruxelles",02 425 73 60,https://www.bargerestaurant.be,brussels,restaurant,info@bargerestaurant.be
65 degrés,4.8,428,"Av. Louise 173, 1000 Bruxelles",02 374 54 50,https://www.65degres.be,brussels,restaurant,info@65degres.be
65 degrés,4.8,428,"Av. Louise 173, 1000 Bruxelles",02 374 54 50,https://www.65degres.be,brussels,restaurant,Presseinfo@65degres.be
Brasserie de la Reine,3.8,288,"Rue de la Montagne 22, 1000 Bruxelles",02 449 97 08,https://www.brasseriedelareine.com,brussels,restaurant,
Le Paon,3.4,419,"Grand Place 35, 1000 Bruxelles",02 207 86 13,https://www.lepaonbrussels.com,brussels,restaurant,
Woodpecker St. Cath.,4.2,881,"Quai au Bois à Brûler 27, 1000 Bruxelles",,https://www.woodpecker.family,brussels,restaurant,
BOU SAID,3.4,5,"Rue Chair et Pain, 1000 Bruxelles",,,brussels,restaurant,
Bar - Restaurant,,,"Rue Longue Vie, 1050 Bruxelles",0487 20 30 40,https://www.itemdifferent.blogspot.com,brussels,restaurant,
Nuits Saint-Georges - Restaurant Bruxelles centre,3.8,322,"Rue Grétry 52, 1000 Bruxelles",0486 20 35 08,https://www.nuits-saint-georges.be,brussels,restaurant,nuitssaintgeorges1@gmail.com
Samouraï,4.2,753,"Rue du Fossé aux Loups 28/B, 1000 Bruxelles",02 217 56 39,https://www.samourai-bruxelles.be,brussels,restaurant,
Yi Chan,4.3,"1,076","Rue Jules Van Praet 13, 1000 Bruxelles",02 502 87 66,https://www.yichanbrussels.com,brussels,restaurant,
Le Perroquet,4.0,"1,697","Rue Watteeu 31, 1000 Bruxelles",02 512 99 22,https://www.facebook.com,brussels,restaurant,
Humphrey Chez Pias,4.0,250,"Rue Saint-Laurent 36/38, 1000 Bruxelles",02 219 39 16,https://www.humphreyrestaurant.com,brussels,restaurant,BrusselsBelgiuminfo@humphreyrestaurant.com
Humphrey Chez Pias,4.0,250,"Rue Saint-Laurent 36/38, 1000 Bruxelles",02 219 39 16,https://www.humphreyrestaurant.com,brussels,restaurant,info@humphreyrestaurant.com
Restaurant Persia,4.2,306,"Rue des Chapeliers 30, 1000 Bruxelles",0468 06 46 76,https://www.restopersia.be,brussels,traiteur,booking@restopersia.be
Pasta Divina,4.6,"2,160","Rue de la Montagne 16, 1000 Bruxelles",02 511 21 55,https://www.pastadivina.be,brussels,traiteur,info@pastadivina.be
Beat restaurant & bar,4.1,753,"Rue de l'Enseignement 1, 1000 Bruxelles",0496 91 29 71,https://www.beatrestaurants.be,brussels,traiteur,
La Table de Mus,4.6,579,"Pl. de la Vieille Halle aux Blés 31, 1000 Bruxelles",02 511 05 86,https://www.latabledemus.be,brussels,traiteur,
Harvest,4.4,517,"Pl. du Samedi 14, 1000 Bruxelles",02 781 07 27,https://www.harvestrestaurantbruxelles.be,brussels,traiteur,
Comme Chez Soi,4.6,655,"Pl. Rouppe 23, 1000 Bruxelles",02 512 29 21,https://www.commechezsoi.be,brussels,traiteur,
Le Marmiton,4.5,"2,734","Galerie de la Reine 38, Rue des Bouchers 43, 1000 Bruxelles",02 511 79 10,https://www.lemarmiton.be,brussels,traiteur,
l'Atelier de Willy,4.4,393,"Bd Emile Jacqmain 118, 1000 Bruxelles",0471 65 08 27,https://www.latelierdewilly.be,brussels,traiteur,info@chez-willy.be
The Lobster House,4.7,"5,268","Rue des Bouchers 34, 1000 Bruxelles",02 502 20 16,https://www.thelobsterhouse.be,brussels,traiteur,16lobsterhouse@live.frRue
Lexpress,4.5,"2,986","Rue des Chapeliers 8, 1000 Bruxelles",02 512 88 83,,brussels,traiteur,
VIAGE Grill restaurant,3.6,28,"Bd Anspach 30, 1000 Bruxelles",02 300 01 00,https://www.viage.be,brussels,traiteur,
Le Bistro - Porte de Hal,4.6,"4,769","Bd de Waterloo 138, 1000 Bruxelles",02 539 44 54,https://www.le-bistro.be,brussels,traiteur,
Plaka,4.3,"3,053","Rue du Marché aux Fromages 6, 1000 Bruxelles",02 511 21 27,https://www.snackplaka.be,brussels,traiteur,
Brussels Grill Debrouckere,4.0,"1,270","Pl. De Brouckère 19, 1000 Bruxelles",02 219 12 19,https://www.brussels-grill.be,brussels,traiteur,
L’Ana Thème,4.5,262,"Rue de la Fourche 14, 1000 Bruxelles",0472 74 64 46,https://www.lanatheme.be,brussels,traiteur,
Le Pêcheur,4.3,"1,775","Rue de la Fourche 33, 1000 Bruxelles",0487 73 02 62,https://www.lepecheurbrussels.com,brussels,traiteur,
Restaurant de l'Ogenblik,4.2,561,"Galerie des Princes 1, 1000 Bruxelles",02 511 61 51,https://www.ogenblik.be,brussels,traiteur,
GUS,4.8,325,"Rue des Cultes 36, 1000 Bruxelles",02 265 79 61,https://www.gus-brussels.be,brussels,traiteur,
Le Chou de Bruxelles,4.6,"1,222","Rue de Florence 26, 1050 Bruxelles",02 537 69 95,https://www.lechoudebruxelles.be,brussels,traiteur,
L'Ancien Bruxelles,4.1,449,"Rue des Renards 32, 1000 Bruxelles",02 513 91 55,https://www.ancienbruxelles.be,brussels,traiteur,reservations@ancienbruxelles.be
Chez Léon,3.9,"10,921","Rue des Bouchers 18, 1000 Bruxelles",02 511 14 15,https://www.chezleon.be,brussels,traiteur,welcome@leon1893.com
La Marée,4.6,741,"Rue de Flandre 99, 1000 Bruxelles",02 511 00 40,https://www.lamaree-sa.com,brussels,traiteur,
Yummy Bowl,4.8,740,"Rue des Eperonniers 49, 1000 Bruxelles",02 265 18 02,https://www.yummybowl.be,brussels,traiteur,
Chez Gudule,4.1,378,"Treurenberg 9, 1000 Bruxelles",02 733 66 68,https://www.chezgudule.be,brussels,traiteur,
The blue,4.6,"2,527","Rue du Marché aux Fromages 18, 1000 Bruxelles",0486 65 96 75,,brussels,traiteur,
Aux Armes de Bruxelles,4.2,"2,735","Rue des Bouchers 13, 1000 Bruxelles",02 511 55 50,https://www.auxarmesdebruxelles.com,brussels,traiteur,welcome@adb1921.com
Le Bourgeois,2.8,518,"Rue des Bouchers 17, 1000 Bruxelles",,,brussels,traiteur,
Le Rossini,4.6,247,"Bd Adolphe Max 7, 1000 Bruxelles",0487 84 67 83,https://www.restaurantlerossini.be,brussels,traiteur,0487846783info@restaurantlerossini.be
SAN Sablon,4.5,342,"Rue Joseph Stevens 12, 1000 Bruxelles",02 512 42 12,https://www.sansablon.be,brussels,traiteur,info@sansablon.be
SAN Sablon,4.5,342,"Rue Joseph Stevens 12, 1000 Bruxelles",02 512 42 12,https://www.sansablon.be,brussels,traiteur,sophie@shd.group
Fin de Siècle,4.6,"5,775","Rue des Chartreux 9, 1000 Bruxelles",,https://www.findesiecle.be,brussels,traiteur,
Restaurant Mozart,4.4,"1,497","Pt Rue des Bouchers 18/24, 1000 Bruxelles",0493 96 69 29,https://www.mozart-resto.be,brussels,traiteur,
Hispania Brussels,4.5,296,"Rue Bodenbroek 2, 1000 Bruxelles",02 512 91 32,https://www.hispaniabrussels.com,brussels,traiteur,
Cave du Roy,4.2,505,"Grand Place 14, 1000 Bruxelles",02 502 14 11,https://www.caveduroy.com,brussels,traiteur,info@caveduroy.com
Bia Mara,4.5,"3,836","Rue du Marché aux Poulets 41, 1000 Bruxelles",02 502 00 61,https://www.biamara.com,brussels,traiteur,
Restaurant Vincent,4.0,889,"Rue des Dominicains 8, 1000 Bruxelles",02 511 26 07,https://www.restaurantvincent.be,brussels,traiteur,
De Bruxelles et d'Ailleurs,,,"Rue du Congrès 30, 1000 Bruxelles",02 203 26 29,,brussels,traiteur,
Steak N'Chill Brussel,4.0,367,"Bd du Jardin Botanique 7, 1000 Bruxelles",02 675 55 51,https://www.steaknchillbrussels.be,brussels,traiteur,
Brussels Grill Grand Place,3.9,"1,754","Rue du Marché aux Herbes 89, 1000 Bruxelles",02 503 17 22,https://www.brussels-grill.be,brussels,traiteur,
Le Vismet,4.5,455,"Pl. Sainte-Catherine 23, 1000 Bruxelles",02 218 85 45,https://www.levismet.be,brussels,traiteur,
Bocconi,4.2,472,"Rue de l'Amigo 1, 1000 Bruxelles",02 547 47 15,https://www.roccofortehotels.com,brussels,traiteur,enquiries@roccofortehotels.com
Namaste Indian restaurant,4.2,"1,569","Rue Jules Van Praet 30, 1000 Bruxelles",02 513 07 11,https://www.namastebrussel.be,brussels,traiteur,
Brussel,,,"Rue Saint-Michel, 1000 Bruxelles",,,brussels,traiteur,
Feux de Bengale,4.1,"1,005","Rue des Eperonniers 69, 1000 Bruxelles",02 513 51 63,https://www.feuxdebengale.be,brussels,traiteur,
Pois Chiche,4.4,745,"Pl. de la Chapelle 15, 1000 Bruxelles",02 306 33 20,https://www.poischiche.be,brussels,traiteur,
Ellis Gourmet Burger,4.1,"2,058","Pl. Sainte-Catherine 4, 1000 Bruxelles",02 514 23 14,https://www.ellis.be,brussels,traiteur,
Lola,4.2,824,"Pl. du Grand Sablon 33, 1000 Bruxelles",02 514 24 60,https://www.lola-restaurant.be,brussels,traiteur,info@lola-restaurant.be
La bonne chère,4.9,221,"Rue Notre-Seigneur 19, 1000 Bruxelles",02 523 75 55,https://www.labonnechere.be,brussels,traiteur,contact@labonnechere.be
La Terrasse,4.1,895,"Rue des Bouchers 12, 1000 Bruxelles",,https://www.la-terrasse-de-bruxelles.be,brussels,traiteur,
't Kelderke,4.2,"1,435","Grand Place 15, 1000 Bruxelles",02 513 73 44,https://www.restaurant-het-kelderke.be,brussels,traiteur,
La Truffe Noire,4.4,447,"Bd de la Cambre 12, 1000 Bruxelles",02 640 44 22,https://www.truffenoire.com,brussels,traiteur,reservation@truffenoire.com
Le petit Chou de Bruxelles,3.4,290,"Rue du Vieux Marché aux Grains 2A, 1000 Bruxelles",02 502 60 37,,brussels,traiteur,
Brussels Brasserie,2.7,89,"Grand Place 34, 1000 Bruxelles",,,brussels,traiteur,
La Villa in the Sky,4.6,415,"IT Tower, Louizalaan 480/25th floor, 1050 Brussel",02 644 69 14,https://www.lavillainthesky.be,brussels,traiteur,info@lavillainthesky.be
Le Conteur,4.5,698,"Rue du Marché aux Poulets 32, 1000 Bruxelles",02 347 02 91,https://www.le-conteur.com,brussels,traiteur,reservations.leconteur@gmail.com
Gramm,4.5,218,"Rue de Flandre 86, 1000 Bruxelles",0495 10 18 22,https://www.grammrestaurant.be,brussels,traiteur,
East at West_Restaurant Libanais Bruxelles,4.7,321,"Bd de l'Empereur 26, 1000 Bruxelles",0465 20 60 24,https://www.eastatwest.be,brussels,traiteur,info@eastatwest.be
Hard Rock Cafe,4.3,"6,765","Grand Place 12A, 1000 Bruxelles",02 546 16 60,https://www.hardrockcafe.com,brussels,traiteur,
Au Vieux Saint Martin,4.2,"1,463","Pl. du Grand Sablon 38, 1000 Bruxelles",02 512 64 76,https://www.auvieuxsaintmartin.be,brussels,traiteur,
ComoTapas Bruselas,4.0,"1,071","Rue Antoine Dansaert 19, 1000 Bruxelles",02 503 03 30,https://www.comotapas.com,brussels,traiteur,
Restaurant beautiful,,,"Rue de la Fourche 9, 1000 Bruxelles",0466 11 25 11,,brussels,traiteur,
L'Everest,4.4,658,"Chaussée de Vleurgat 153 Ixelles, 1050 Brussel",02 647 57 77,https://www.leverest.be,brussels,traiteur,info@leverest.be
